AIRCRAFT_ID,SEQUENCE,FLIGHT_ID,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,CRS_ARR_TIME,CRS_ELAPSED_TIME,DISTANCE,DEP_MIN,ARR_MIN,IS_OVERNIGHT
1,1,0,N7821L,1276,LAX,SFO,500,630,90,337,300,390,False
1,2,373,N7821L,256,SFO,DEN,735,1100,145,967,455,660,False
1,3,1126,N8681M,1598,DEN,SBA,1255,1435,160,916,775,875,False
1,4,1882,N969WN,4653,SBA,SMF,1825,1945,80,310,1105,1185,False
1,5,2187,N238WN,447,SMF,SEA,2030,2230,120,605,1230,1350,False
2,1,1,N8558Z,2133,SFO,LAS,500,635,95,414,300,395,False
2,2,363,N8981Q,779,LAS,ATL,730,1415,225,1747,450,855,False
2,3,1376,N8981Q,557,ATL,DAL,1455,1620,145,721,895,980,False
2,4,1714,N8981Q,3089,DAL,HRL,1710,1840,90,458,1030,1120,False
3,1,2,N8782Q,4974,MHT,MDW,500,640,160,838,300,400,False
3,2,477,N7886A,4748,MDW,OMA,815,950,95,423,495,590,False
3,3,815,N7886A,2612,OMA,MDW,1040,1205,85,423,640,725,False
3,4,1198,N556WN,2711,MDW,MCI,1325,1455,90,404,805,895,False
3,5,1471,N556WN,1511,MCI,DAL,1535,1715,100,461,935,1035,False
3,6,1897,N8920Q,516,DAL,SAN,1830,1950,200,1182,1110,1190,False
4,1,3,N8969S,4760,RNO,LAS,500,640,100,345,300,400,False
4,2,406,N8932Q,4819,LAS,PHX,750,1005,75,255,470,605,False
4,3,941,N943WN,1748,PHX,SJC,1140,1250,130,621,700,770,False
4,4,1213,N7881A,2702,SJC,PSP,1335,1505,90,390,815,905,False
4,5,1556,N8563Z,2850,PSP,OAK,1610,1750,100,418,970,1070,False
4,6,1916,N7889A,940,OAK,ONT,1835,2000,85,362,1115,1200,False
5,1,4,N8992L,4503,STL,LAS,500,640,220,1371,300,400,False
5,2,375,N8915Q,4589,LAS,OMA,735,1210,155,1099,455,730,False
5,3,1116,N8907L,3005,OMA,LAS,1255,1400,185,1099,775,840,False
5,4,1461,N232WN,2124,LAS,ELP,1530,1810,100,584,930,1090,False
6,1,5,N8544Z,2162,RSW,MDW,500,700,180,1105,300,420,False
6,2,395,N8746Q,2727,MDW,MSY,745,1010,145,825,465,610,False
6,3,1134,N8883Q,2867,MSY,FLL,1255,1545,110,673,775,945,False
6,4,1751,N8880G,1326,FLL,MCO,1730,1840,70,177,1050,1120,False
6,5,2091,N8327A,2569,MCO,MCI,1930,2140,190,1072,1170,1300,False
7,1,6,N8892S,3084,PHL,DEN,500,720,260,1558,300,440,False
7,2,489,N8504G,4348,DEN,GEG,820,950,150,836,500,590,False
7,3,787,N8504G,642,GEG,LAS,1030,1255,145,806,630,775,False
7,4,1270,N8714Q,2187,LAS,RNO,1405,1535,90,345,845,935,False
7,5,1807,N8687A,280,RNO,LAS,1755,1920,85,345,1075,1160,False
7,6,2209,N8866H,2258,LAS,SLC,2035,2300,85,368,1235,1380,False
8,1,7,N8805L,2327,LAX,PHX,500,725,85,370,300,445,False
8,2,743,N8985Q,2158,PHX,SLC,1010,1155,105,507,610,715,False
8,3,1070,N8817L,2824,SLC,PHX,1235,1420,105,507,755,860,False
8,4,1658,N8550Q,2232,PHX,TPA,1640,2220,220,1788,1000,1340,False
9,1,8,N8570W,2261,PIT,LAS,500,730,330,1910,300,450,False
9,2,508,N8906K,3339,LAS,ROC,825,1540,255,2040,505,940,False
10,1,9,N8530W,2842,MSP,PHX,500,745,225,1276,300,465,False
